teamA,teamB,week,season
"Stoke City","Manchester United",15,1970-01-01T00:00:02.014Z
"Aston Villa","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Hull City","Everton",15,1970-01-01T00:00:02.014Z
"Liverpool","Leicester City",15,1970-01-01T00:00:02.014Z
"Manchester City","Sunderland",15,1970-01-01T00:00:02.014Z
"Newcastle United","Burnley",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Swansea City",15,1970-01-01T00:00:02.014Z
"Southampton","Arsenal",15,1970-01-01T00:00:02.014Z
"West Ham United","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Chelsea",15,1970-01-01T00:00:02.014Z
"Sunderland","Liverpool",15,1970-01-01T00:00:02.014Z
"Burnley","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Chelsea","Newcastle United",15,1970-01-01T00:00:02.014Z
"Everton","Manchester City",15,1970-01-01T00:00:02.014Z
"Leicester City","Aston Villa",15,1970-01-01T00:00:02.014Z
"Swansea City","West Ham United",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Hull City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Arsenal","Stoke City",15,1970-01-01T00:00:02.014Z
"Manchester United","Southampton",15,1970-01-01T00:00:02.014Z
"Aston Villa","Liverpool",15,1970-01-01T00:00:02.014Z
"Burnley","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Leicester City","Stoke City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Manchester United",15,1970-01-01T00:00:02.014Z
"Swansea City","Chelsea",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Sunderland",15,1970-01-01T00:00:02.014Z
"Newcastle United","Southampton",15,1970-01-01T00:00:02.014Z
"West Ham United","Hull City",15,1970-01-01T00:00:02.014Z
"Manchester City","Arsenal",15,1970-01-01T00:00:02.014Z
"Everton","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Hull City","Newcastle United",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Everton",15,1970-01-01T00:00:02.014Z
"Liverpool","West Ham United",15,1970-01-01T00:00:02.014Z
"Manchester United","Leicester City",15,1970-01-01T00:00:02.014Z
"Stoke City","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Sunderland","Burnley",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Chelsea","Manchester City",15,1970-01-01T00:00:02.014Z
"Arsenal","Aston Villa",15,1970-01-01T00:00:02.014Z
"Southampton","Swansea City",15,1970-01-01T00:00:02.014Z
"Aston Villa","Chelsea",15,1970-01-01T00:00:02.014Z
